year,state,state_cd,latitude,longitude,plan_type,tot_clms,tot_opioid_clms,opioid_prscrbng_rate,opioid_prscrbng_rate_1y_chg,opioid_prscrbng_rate_5y_chg,la_tot_opioid_clms,la_opioid_prscrbng_rate,la_opioid_prscrbng_rate_1y_chg,la_opioid_prscrbng_rat_5y_chg
2017,Iowa,19,41.591087,-93.603729,All,4008611,159341,3.98,-0.67,,23917,15.01,7.49,
2017,Kansas,20,39.048191,-95.677956,All,4339894,252877,5.83,-0.22,,25968,10.27,-0.2,
2017,Kentucky,21,38.186722,-84.875374,All,21790870,890494,4.09,-0.29,,28341,3.18,0.13,
2017,Louisiana,22,30.457069,-91.187393,All,18265464,915815,5.01,-0.72,,22014,2.4,-0.7,
2017,Maine,23,44.307167,-69.781693,All,2280294,92109,4.04,-1.08,,14275,15.5,-0.11,
2017,Maryland,24,38.978764,-76.490936,All,13776012,725183,5.26,-0.86,,84130,11.6,-0.97,
2017,Massachusetts,25,42.358162,-71.063698,All,15596116,497104,3.19,-0.85,,48471,9.75,0.24,
2017,Michigan,26,42.733635,-84.555328,All,29721159,1790287,6.02,-1.25,,102854,5.75,-0.3,
2017,Minnesota,27,44.955097,-93.102211,All,12989205,537469,4.14,-0.7,,47302,8.8,0.43,
2017,Mississippi,28,32.303848,-90.182106,All,5642241,313911,5.56,-0.75,,14726,4.69,0.63,
2017,Missouri,29,38.579201,-92.172935,All,11537162,563378,4.88,-0.67,,53980,9.58,0.51,
2017,Montana,30,46.585709,-112.018417,All,2520686,168938,6.7,-0.93,,20356,12.05,4.05,
2017,Nebraska,31,40.808075,-96.699654,All,2611708,114907,4.4,-0.89,,14056,12.23,1.7,
2017,Nevada,32,39.163914,-119.766121,All,6849042,500209,7.3,-0.85,,42780,8.55,-0.41,
2017,New Hampshire,33,43.206898,-71.537994,All,1371600,44210,3.22,-1.28,,6395,14.47,0.34,
2017,New Jersey,34,40.220596,-74.769913,All,19191707,695230,3.62,-0.87,,64609,9.29,0.29,
2017,New Mexico,35,35.68224,-105.939728,All,6015850,333142,5.54,-0.89,,14457,4.34,0.74,
2017,New York,36,42.652843,-73.757874,All,63794440,1580414,2.48,-0.38,,143493,9.08,-0.38,
2017,North Carolina,37,35.78043,-78.639099,All,16357861,907210,5.55,-0.69,,89054,9.82,-0.01,
2017,North Dakota,38,46.82085,-100.783318,All,975487,47049,4.82,-1.11,,2966,6.3,-1.24,
2017,Ohio,39,39.961346,-82.999069,All,47386286,1985281,4.19,-1.15,,105111,5.29,0.15,
2017,Oklahoma,40,35.492207,-97.503342,All,5777676,370972,6.42,-0.76,,34785,9.38,0.24,
2017,Oregon,41,44.938461,-123.030403,All,10152945,632950,6.23,-1.2,,46966,7.42,-0.49,
2017,Pennsylvania,42,40.264378,-76.883598,All,36591559,1550456,4.24,-1.22,,139675,9.01,0.43,
2017,Rhode Island,44,41.830914,-71.414963,All,3437309,115176,3.35,-0.86,,7964,6.91,0.25,
2017,South Carolina,45,34.000343,-81.033211,All,6778325,327850,4.84,-0.98,,21059,6.42,0.09,
2017,South Dakota,46,44.367031,-100.346405,All,921594,44054,4.78,-0.61,,4294,9.75,0.42,
2017,Tennessee,47,36.16581,-86.784241,All,13486012,792596,5.88,-1.17,,35708,4.51,-0.43,
2017,Texas,48,30.27467,-97.740349,All,31763848,1059775,3.34,-0.4,,55686,5.25,0.59,
2017,Utah,49,40.777477,-111.888237,All,2535925,149966,5.91,-1.29,,16778,11.19,0.06,
2017,Vermont,50,44.262436,-72.580536,All,1516195,75070,4.95,-1.38,,11401,15.19,1.1,
2017,Virginia,51,37.538857,-77.43364,All,10350736,432561,4.18,-1.41,,71363,16.5,2.63,
2017,Washington,53,47.035805,-122.905014,All,15267268,944547,6.19,-1.07,,77809,8.24,-0.66,
2017,West Virginia,54,38.336246,-81.612328,All,9433267,341010,3.62,-0.94,,16617,4.87,0.07,
2017,Wisconsin,55,43.074684,-89.384445,All,11183308,721150,6.45,-1.21,,133685,18.54,2.44,
2017,Wyoming,56,41.140259,-104.820236,All,499793,29216,5.85,-0.56,,2752,9.42,0.2,
2016,Alabama,1,32.377716,-86.300568,All,7587123,407587,5.37,-0.26,,19535,4.79,0.01,
2016,Alaska,2,58.301598,-134.420212,All,1222153,96490,7.9,0.29,,11181,11.59,-0.73,
2016,Arizona,4,33.448143,-112.096962,All,17621826,1283751,7.29,-0.5,,139024,10.83,0.44,
2016,Arkansas,5,34.746613,-92.288986,All,4840413,333081,6.88,-0.13,,17987,5.4,0.61,
2016,California,6,38.576668,-121.493629,All,85934130,4422964,5.15,-0.44,,281593,6.37,-0.14,
2016,Colorado,8,39.739227,-104.984856,All,8890600,808077,9.09,-1.12,,71628,8.86,0.14,
2016,Connecticut,9,41.764046,-72.682198,All,9451826,488372,5.17,-0.92,,46197,9.46,-0.4,
2016,Delaware,10,39.157307,-75.519722,All,2855698,153469,5.37,-0.93,,24754,16.13,0.36,
2016,District of Columbia,11,38.89511,-77.03637,All,2306334,100823,4.37,-0.45,,4996,4.96,-0.95,
2016,Florida,12,30.438118,-84.281296,All,29307650,1322139,4.51,-0.52,,89448,6.77,-2.52,
2016,Georgia,13,33.749027,-84.388229,All,15853475,921770,5.81,-0.46,,47997,5.21,0.14,
2016,Hawaii,15,21.307442,-157.857376,All,2432123,149762,6.16,-0.59,,14750,9.85,-1.16,
2016,Idaho,16,43.617775,-116.199722,All,2244662,137352,6.12,-0.73,,12975,9.45,-0.75,
2016,Illinois,17,39.798363,-89.654961,All,26070277,1455711,5.58,-0.5,,55052,3.78,-0.09,
2016,Indiana,18,39.768623,-86.162643,All,16368081,1047787,6.4,-0.68,,66423,6.34,-0.67,
2016,Iowa,19,41.591087,-93.603729,All,6283383,292032,4.65,-1.22,,21956,7.52,0.65,
2016,Kansas,20,39.048191,-95.677956,All,3284776,198812,6.05,-0.29,,20818,10.47,0.09,
2016,Kentucky,21,38.186722,-84.875374,All,16554851,724665,4.38,0.31,,22094,3.05,-0.15,
2016,Louisiana,22,30.457069,-91.187393,All,13100935,750510,5.73,0.32,,23246,3.1,-0.43,
2016,Maine,23,44.307167,-69.781693,All,2374544,121654,5.12,-0.69,,18995,15.61,1,
2016,Maryland,24,38.978764,-76.490936,All,13698112,838175,6.12,-0.48,,105342,12.57,0.92,
2016,Massachusetts,25,42.358162,-71.063698,All,15869343,640783,4.04,-0.87,,60964,9.51,0.78,
2016,Michigan,26,42.733635,-84.555328,All,29311749,2131199,7.27,-0.76,,128903,6.05,-0.21,
2016,Minnesota,27,44.955097,-93.102211,All,12211579,591038,4.84,-0.9,,49487,8.37,0.23,
